Text,Likes,Source,,,
"حوار ""شمس ماغ"" مع لطفي المرايحي المترشح للإنتخابات الرئاسية السابقة لأوانها",280,Shems Fm,,,
رئاسيات 2019: لطفي المرايحي ضيف شمس ماغ,49,Shems Fm,,,
سلمى اللومي:'التنمية لا يمكن أن تكون إلا بدولة قوية,65,Shems Fm,,,
حمة الهمامي:'برنامجنا عنوانه الدفاع عن السيادة الوطنية,47,Shems Fm,,,
إلياس الفخفاخ:'من أولوياتي مقاومة البطالة والإجرام,56,Shems Fm,,,
عبد الفتاح مورو:'سألتزم بإحترام زملائي في حملة إنتخابية تقوم على أساس تقديم البرامج,145,Shems Fm,,,
حوار هنا شمس مع عبيد البريكي المترشح للإنتخابات الرئاسية السابقة لأوانها,23,Shems Fm,,,
عبيد البريكي:'لا يمكن أن يكافح الإرهاب إلا متخصص على رأس وزارة الدفاع,41,Shems Fm,,,
عبيد البريكي:'آن الأوان لتكون إمراة على رأس وزارة الخارجية,83,Shems Fm,,,
النهضة تدعو المترشحين للرئاسة إلى الالتزام بحياد الإدارة وعدم توظيف موارد الدولة,137,Shems Fm,,,
منجي الرحوي: 'أتبنى مشروع قانون المساواة في الميراث,114,Shems Fm,,,
"حوار ""هنا شمس"" مع عبيد البريكي المترشّح للإنتخابات الرئاسية السابقة لأوانها",94,Shems Fm,,,
عبد الفتاح مورو: 'سأعمل على تحقيق الأمن الغذائي والمائي للبلاد,176,Shems Fm,,,
قيس سعيد: 'سأقدم مبادرة لتعديل الدستور,197,Shems Fm,,,
قيس سعيد: 'سأطلب من رؤساء الدول احترام التونسيين وعدم إهانتهم بسبب الفيزا,723,Shems Fm,,,
حوار الماتينال مع قيس سعيد المترشح للإنتخابات الرئاسية السابقة لأوانها,136,Shems Fm,,,
منجي الرحوي: 'مناطق الشمال الغربي في حاجة إلى برامج تنمية حقيقية,68,Shems Fm,,,
سعيد العايدي: 'سأقدم استراتيجية لمقاومة الإرهاب,62,Shems Fm,,,
نبيل القروي يتمتع بمعرفة جيدة لعالم الأعمال,104,Shems Fm,,,
نبيل القروي أحد أبرز المترشحين لمنصب رئيس الجمهورية,74,Shems Fm,,,
عبد الكريم الزبيدي:'يجب إسترجاع قوة الدولة,135,Shems Fm,,,
يوسف الشاهد: 'ترشحي مبني على معرفة ودراية بواقع المشاكل في تونس,445,Shems Fm,,,
حمادي الجبالي:'القيروان القلب النابض لتونس ونريد إعادتها كما كانت,294,Shems Fm,,,
محمد الصغير النوري:'برنامجي يقوم على 4 محاور وسأركز على الأمن والإقتصاد,16,Shems Fm,,,
عبير موسي: 'سأغير الدستور وسأعمل على إرساء نظام سياسي جديد,1021,Shems Fm,,,
منجي الرحوي: 'سأعمل على استقرار العُملة وانفتاح تونس على أسواق جديدة,51,Shems Fm,,,
رئاسيات 2019: محمد الصغير النوري ضيف هنا شمس,23,Shems Fm,,,
حمة الهمامي يتعهد بإلغاء اتفاقية الشراكة مع الإتحاد الأوروبي,182,Shems Fm,,,
لطفي المرايحي: 'تأميم الثروات التونسية من أولوياتي,488,Shems Fm,,,
يوسف الشاهد: 'حان الوقت لإعادة الحلم للشباب في الأحياء الشعبية,1184,Shems Fm,,,
سلمى اللومي: 'غير مقبول إهانة التونسيين من أجل التأشيرة,105,Shems Fm,,,
سلمى اللومي: 'النقل والعلاج المجاني للمتقاعدين ومنح امتيازات للأمهات والتلاميذ من أولوياتي,207,Shems Fm,,,
حوار الماتينال مع سلمى الرقيق اللومي المترشحة للإنتخابات الرئاسية السابقة لأوانها,22,Shems Fm,,,
محسن مرزوق يؤكد ضرورة تشديد العقوبات على منفذي 'البراكاجات المسلحة,93,Shems Fm,,,
إلياس الفخفاخ: 'سأعمل على إحداث وكالة استعلامات,38,Shems Fm,,,
عبد الكريم الزبيدي: الديمقراطية والمسار الانتقالي في تونس في خطر,121,Shems Fm,,,
عبد الكريم الزبيدي المترشح للإنتخابات الرئاسية السابقة لأوانها,127,Shems Fm,,,
قيس سعيد:'الأمن القومي لا يمكن أن يفهم بمعناه التقليدي,665,Shems Fm,,,
رضا شرف الدين: 'القضاء على الفقر سيكون أولوية مطلقة لنبيل القروي,592,Shems Fm,,,
عبــد الكريم الزبيدي :قررت الترشح للرئاسية كجـندي متطوع لتونس,480,Shems Fm,,,
